price,price
83.0,0.0
102.0,0.0
60.0,0.0
90.0,0.0
50.0,0.0
115.0,0.0
114.88285714285715,0.0
109.0,0.0
93.0,0.0
169.0,0.0
131.0,0.0
27.0,0.0
100.0,0.0
45.0,0.0
95.0,0.0
114.88285714285715,0.0
120.0,0.0
50.0,0.0
101.0,0.0
145.0,0.0
114.88285714285715,0.0
191.0,0.0
114.88285714285715,0.0
114.88285714285715,0.0
80.0,0.0
159.0,0.0
122.0,0.0
114.88285714285715,0.0
70.0,0.0
50.0,0.0
120.0,0.0
196.0,0.0
105.0,0.0
130.0,0.0
87.0,0.0
89.0,0.0
100.0,0.0
114.88285714285715,0.0
147.0,0.0
53.0,0.0
91.0,0.0
127.0,0.0
92.0,0.0
129.0,0.0
85.0,0.0
114.88285714285715,0.0
130.0,0.0
114.88285714285715,0.0
109.0,0.0
89.0,0.0
103.0,0.0
150.0,0.0
266.0,0.13048600099034907
249.0,0.0
102.0,0.0
109.0,0.0
135.0,0.0
100.0,0.0
68.0,0.0
68.0,0.0
50.0,0.0
110.0,0.0
156.0,0.0
99.0,0.0
114.88285714285715,0.0
55.0,0.0
110.0,0.0
114.88285714285715,0.0
26.0,0.0
219.0,0.0
114.88285714285715,0.0
175.0,0.0
80.0,0.0
135.0,0.0
114.88285714285715,0.0
40.0,0.0
50.0,0.0
114.88285714285715,0.0
91.0,0.0
110.0,0.0
114.88285714285715,0.0
120.0,0.0
108.0,0.0
114.88285714285715,0.0
79.0,0.0
114.88285714285715,0.0
70.0,0.0
105.0,0.0
88.0,0.0
100.0,0.0
100.0,0.0
88.0,0.0
93.0,0.0
105.0,0.0
110.0,0.12322917523455997
85.0,0.0
45.0,0.0
300.0,0.0
570.0,0.0
85.0,0.0
122.0,0.0
80.0,0.0
88.0,0.0
184.0,0.0
87.0,0.0
115.0,0.0
129.0,0.0
70.0,0.0
60.0,0.0
75.0,0.0
85.0,0.0
175.0,0.0
95.0,0.0
65.0,0.0
245.0,0.0
125.0,0.0
56.0,0.08112741048106112
97.0,0.0
66.0,0.0
150.0,0.0
197.0,0.0
114.88285714285715,0.0
187.0,0.0
364.0,0.0
70.0,0.0
100.0,0.0
115.0,0.0
122.0,0.0
114.88285714285715,0.0
95.0,0.0
135.0,0.0
1750.0,0.0
114.88285714285715,0.0
120.0,0.0
45.0,0.0
141.0,0.0
114.88285714285715,0.0
129.0,0.0
115.0,0.0
114.88285714285715,0.0
114.88285714285715,0.0
306.0,0.0
119.0,0.0
126.0,0.0
91.0,0.0
115.0,0.0
150.0,0.0
120.0,0.0
55.0,0.0
89.0,0.0
114.88285714285715,0.0
201.0,0.0
75.0,0.0
103.0,0.0
55.0,0.0
75.0,0.0
50.0,0.0
119.0,0.0
40.0,0.0
97.0,0.0
85.0,0.0
100.0,0.0
78.0,0.0
82.0,0.0
61.0,0.0
149.0,0.0
85.0,0.0
63.0,0.0
151.0,0.0
56.0,0.07500281543078745
100.0,0.0
76.0,0.0
114.88285714285715,0.0
114.88285714285715,0.0
347.0,0.0
125.0,0.0
218.0,0.0
243.0,0.0
27.0,0.0
199.0,0.0
78.0,0.0
118.0,0.0
119.0,0.0
160.0,0.0
95.0,0.0
114.88285714285715,0.0
157.0,0.0
65.0,0.0
53.0,0.0
143.0,0.0
114.88285714285715,0.0
155.0,0.0
69.0,0.0
64.0,0.0
110.0,0.0
103.0,0.0
113.0,0.0
114.88285714285715,0.0
50.0,0.0
105.0,0.0
35.0,0.0
140.0,0.0
114.88285714285715,0.0
75.0,0.0
105.0,0.0
79.0,0.0
92.0,0.0
45.0,0.0
80.0,0.0
87.0,0.0
110.0,0.0
79.0,0.0
78.0,0.0
175.0,0.0
126.0,0.0
99.0,0.0
106.0,0.0
114.88285714285715,0.0
44.0,0.0
114.88285714285715,0.0
50.0,0.0
63.0,0.0
99.0,0.0
44.0,0.0
102.0,0.0
99.0,0.0
115.0,0.0
62.0,0.0
114.88285714285715,0.0
114.88285714285715,0.0
85.0,0.0
39.0,0.0
189.0,0.0
99.0,0.0
53.0,0.0
104.0,0.0
119.0,0.0
24.0,0.0
70.0,0.0
50.0,0.0
73.0,0.0
114.88285714285715,0.0
127.0,0.0
125.0,0.0
50.0,0.0
50.0,0.0
130.0,0.0
114.88285714285715,0.0
48.0,0.0
155.0,0.0
190.0,0.0
110.0,0.0
90.0,0.0
91.0,0.0
75.0,0.0
145.0,0.0
70.0,0.0
45.0,0.0
89.0,0.0
53.0,0.0
65.0,0.0
185.0,0.0
85.0,0.0
125.0,0.0
75.0,0.0
125.0,0.0
45.0,0.0
117.0,0.0
100.0,0.0
114.88285714285715,0.0
184.0,0.0
175.0,0.0
184.0,0.0
55.0,0.0
114.88285714285715,0.0
33.0,0.0
125.0,0.0
72.0,0.0
89.0,0.0
169.0,0.0
95.0,0.0
154.0,0.0
114.88285714285715,0.0
114.88285714285715,0.0
107.0,0.0
50.0,0.0
114.88285714285715,0.0
45.0,0.0
145.0,0.0
45.0,0.0
217.0,0.0
80.0,0.0
70.0,0.0
114.0,0.0
119.0,0.0
50.0,0.0
55.0,0.0
67.0,0.0
114.88285714285715,0.0
114.88285714285715,0.0
115.0,0.0
110.0,0.0
71.0,0.0
100.0,0.0
207.0,0.0
88.0,0.0
35.0,0.0
279.0,0.0
108.0,0.0
120.0,0.0
100.0,0.0
126.0,0.0
60.0,0.0
100.0,0.0
114.88285714285715,0.0
179.0,0.0
114.88285714285715,0.0
333.0,0.0
129.0,0.0
125.0,0.0
109.0,0.0
184.0,0.0
628.0,0.0
